"","X","st","log.inv.age1","log.inv.prec.age1","agegrp","period","N_swabs","pop_offset_IPD","IPD_blurred","N_carr_blurred"
"66",66,"12F",4.97068715244122,17.9361762946425,2,0,1077,4685.025,6,7
"67",67,"12F",4.97068715244122,17.9361762946425,3,2,3329,5747.136,31,22
"68",68,"12F",4.97068715244122,17.9361762946425,4,0,1077,2755.251,49,8
"69",69,"12F",4.97068715244122,17.9361762946425,2,1,1918,3547.3925625,7,25
"70",70,"12F",4.97068715244122,17.9361762946425,1,3,3259,682.89472565,5,6
"71",71,"12F",4.97068715244122,17.9361762946425,2,3,3259,2046.5561435,7,8
"72",72,"12F",4.97068715244122,17.9361762946425,1,2,3329,1610.316,21,23
"73",73,"12F",4.97068715244122,17.9361762946425,3,3,3259,2435.0243034,8,9
"74",74,"12F",4.97068715244122,17.9361762946425,4,1,1918,2302.9794375,24,24
"75",75,"12F",4.97068715244122,17.9361762946425,1,0,1077,1559.511,31,10
"76",76,"12F",4.97068715244122,17.9361762946425,3,0,1077,4963.884,21,11
"77",77,"12F",4.97068715244122,17.9361762946425,4,2,3329,4206.696,74,27
"78",78,"12F",4.97068715244122,17.9361762946425,3,1,1918,3693.6125,7,23
"79",79,"12F",4.97068715244122,17.9361762946425,4,3,3259,1899.7218255,8,8
"80",80,"12F",4.97068715244122,17.9361762946425,2,2,3329,5094.192,6,21
"81",81,"13",2.33013962649511,0.474236251466932,4,3,3259,1899.7218255,3,12
"82",82,"13",2.33013962649511,0.474236251466932,4,1,1918,2302.9794375,7,8
"83",83,"13",2.33013962649511,0.474236251466932,1,2,3329,1610.316,4,1
"84",84,"13",2.33013962649511,0.474236251466932,3,2,3329,5747.136,7,6
"85",85,"13",2.33013962649511,0.474236251466932,3,1,1918,3693.6125,2,10
"86",86,"13",2.33013962649511,0.474236251466932,3,3,3259,2435.0243034,4,10
"87",87,"13",2.33013962649511,0.474236251466932,2,3,3259,2046.5561435,10,11
"88",88,"13",2.33013962649511,0.474236251466932,1,0,1077,1559.511,8,11
"89",89,"13",2.33013962649511,0.474236251466932,2,2,3329,5094.192,8,3
"90",90,"13",2.33013962649511,0.474236251466932,3,0,1077,4963.884,4,8
"91",91,"13",2.33013962649511,0.474236251466932,2,0,1077,4685.025,3,10
"92",92,"13",2.33013962649511,0.474236251466932,4,0,1077,2755.251,7,10
"93",93,"13",2.33013962649511,0.474236251466932,1,1,1918,1070.6159375,4,12
"94",94,"13",2.33013962649511,0.474236251466932,2,1,1918,3547.3925625,7,8
"95",95,"13",2.33013962649511,0.474236251466932,1,3,3259,682.89472565,4,8
"96",96,"13",2.33013962649511,0.474236251466932,4,2,3329,4206.696,4,7
"97",97,"14",3.91626267581702,22.1675663271822,2,3,3259,2046.5561435,7,4
"98",98,"14",3.91626267581702,22.1675663271822,1,0,1077,1559.511,29,47
"99",99,"14",3.91626267581702,22.1675663271822,4,3,3259,1899.7218255,6,5
"100",100,"14",3.91626267581702,22.1675663271822,3,0,1077,4963.884,12,45
"101",101,"14",3.91626267581702,22.1675663271822,1,2,3329,1610.316,5,7
"102",102,"14",3.91626267581702,22.1675663271822,3,1,1918,3693.6125,5,19
"103",103,"14",3.91626267581702,22.1675663271822,4,2,3329,4206.696,5,10
"104",104,"14",3.91626267581702,22.1675663271822,3,3,3259,2435.0243034,9,5
"105",105,"14",3.91626267581702,22.1675663271822,1,3,3259,682.89472565,5,6
"106",106,"14",3.91626267581702,22.1675663271822,3,2,3329,5747.136,8,10
"107",107,"14",3.91626267581702,22.1675663271822,4,0,1077,2755.251,13,46
"108",108,"14",3.91626267581702,22.1675663271822,2,1,1918,3547.3925625,5,19
"109",109,"14",3.91626267581702,22.1675663271822,2,0,1077,4685.025,4,42
"110",110,"14",3.91626267581702,22.1675663271822,1,1,1918,1070.6159375,11,15
"111",111,"14",3.91626267581702,22.1675663271822,4,1,1918,2302.9794375,12,27
"112",112,"14",3.91626267581702,22.1675663271822,2,2,3329,5094.192,5,6
"113",113,"15A",1.8161060692757,5.08907900598185,4,2,3329,4206.696,14,118
"114",114,"15A",1.8161060692757,5.08907900598185,2,1,1918,3547.3925625,9,45
"115",115,"15A",1.8161060692757,5.08907900598185,3,2,3329,5747.136,7,120
"116",116,"15A",1.8161060692757,5.08907900598185,4,1,1918,2302.9794375,4,47
"117",117,"15A",1.8161060692757,5.08907900598185,1,3,3259,682.89472565,6,52
"118",118,"15A",1.8161060692757,5.08907900598185,4,3,3259,1899.7218255,9,53
"119",119,"15A",1.8161060692757,5.08907900598185,2,3,3259,2046.5561435,6,54
"120",120,"15A",1.8161060692757,5.08907900598185,3,0,1077,4963.884,6,20
